id,rank,  workers  ,company,state,city,  growth_in_%  ,  revenue  ,industry,yrs_on_list
25373,4470,13,NextStep Networking,OH,Cincinnati,59,"$2,479,978.00 ",IT Services,1
18690,4471,32,United Technology Group,GA,Suwanee,59,"$8,555,059.00 ",IT Services,5
3980,4472,11,Enviro-Safe Consulting,WI,Germantown,59,"$3,850,000.00 ",Environmental Services,7
4171,4473,310,Object Technology Solutions,KS,Overland Park,59,"$38,274,260.00 ",IT Services,8
18909,4474,150,Cuisine Unlimited,UT,Salt Lake City,59,"$4,188,235.00 ",Food & Beverage,3
24176,4475,14,Royce Leather,NJ,Secaucus,59,"$4,130,000.00 ",Consumer Products & Services,2
25301,4476,215,Ferreira Construction Co.,NJ,Branchburg,59,"$124,284,775.00 ",Construction,1
1690,4477,60,XCEL Solutions,NJ,Matawan,59,"$5,334,507.00 ",Software,3
19083,4478,19,Adventure Life,MT,Missoula,59,"$12,832,460.00 ",Travel & Hospitality,3
5288,4479,70,NineSigma,OH,Cleveland,59,"$13,259,000.00 ",Business Products & Services,3
24496,4480,49,Cruise Planners,FL,Coral Springs,58,"$32,590,156.00 ",Travel & Hospitality,2
24214,4481,22,Self Edge,CA,Millbrae,58,"$2,992,674.00 ",Retail,2
17271,4482,17,Provideo Management,VA,Ashburn,58,"$9,010,013.00 ",Government Services,3
1260,4483,32,Transnational Foods,FL,Miami,58,"$81,385,135.00 ",Food & Beverage,7
24795,4484,9,Swarm Interactive,NC,Chapel Hill,58,"$2,044,293.00 ",Health,1
24237,4485,15,Faith Direct,VA,Alexandria,58,"$2,587,344.00 ",Financial Services,2
26539,4486,24,The Service Professor,MI,Grand Rapids,58,"$3,182,352.00 ",Consumer Products & Services,1
4793,4487,23,ShuBee,GA,Macon,58,"$5,845,561.00 ",Business Products & Services,5
25184,4488,12,TENS Rx,TX,Montgomery,58,"$2,145,539.00 ",Health,1
2198,4489,26,Infinity Network Solutions,GA,Macon,58,"$5,734,863.00 ",IT Services,4
25031,4490,26,AIS Engineering,MD,Silver Spring,58,"$19,352,155.00 ",Telecommunications,1
3096,4491,45,Sunshine Rentals,CA,Vista,58,"$2,453,294.00 ",Travel & Hospitality,4
25391,4492,15,Metal Roofs of Texas,TX,Fort Worth,58,"$5,769,000.00 ",Construction,1
19969,4493,14,SignTalk,NY,Brooklyn,58,"$6,471,000.00 ",Business Products & Services,3
26226,4494,5,Coakley Realty,MD,Rockville,58,"$2,367,687.00 ",Real Estate,1
26269,4495,100,IPMG,IL,St. Charles,58,"$17,010,859.00 ",Insurance,1
25597,4496,50,BESLER Consulting,NJ,Princeton,58,"$12,449,559.00 ",Health,1
19019,4497,993,Cottonwood Financial,TX,Irving,58,"$220,868,893.00 ",Financial Services,4
3266,4498,239,NovaCopy,TN,Nashville,58,"$49,945,066.00 ",Business Products & Services,8
24203,4499,27,GraduationSource,NY,Port Chester,58,"$6,231,097.00 ",Education,2
24060,4500,49,IC Realtime,FL,Pompano Beach,58,"$18,862,719.00 ",Security,2
3912,4501,32,Cvision Technologies,NY,Forest Hills,58,"$5,343,260.00 ",Software,6
3983,4502,196,Dataprise,MD,Rockville,58,"$27,251,806.00 ",IT Services,9
20878,4503,157,EMKAY,IL,Itasca,58,"$543,280,788.00 ",Logistics & Transportation,3
19573,4504,60,ARRYVE,WA,Bellevue,57,"$13,005,896.00 ",Business Products & Services,4
24047,4505,11,ON Search Partners,OH,Solon,57,"$9,028,901.00 ",Human Resources,2
24927,4506,20,Zuri Group,OR,Bend,57,"$2,381,000.00 ",IT Services,1
26533,4507,"23,689",AtWork Group,TN,Knoxville,57,"$132,359,522.00 ",Human Resources,1
3309,4508,87,Rand Engineering & Architecture,NY,New York,57,"$10,681,860.00 ",Engineering,5
24563,4509,73,Blackpoint IT Services,WA,Seattle,57,"$14,341,750.00 ",IT Services,2
26136,4510,31,OptionsAnimal,UT,Lehi,57,"$4,483,411.00 ",Education,1
22419,4511,20,LISS Consulting,NY,Lake Success,57,"$2,469,793.00 ",IT Services,3
1268,4512,80,Amadeus Consulting,CO,Boulder,57,"$9,550,000.00 ",Software,8
25088,4513,16,EnableSoft,FL,Orlando,57,"$2,721,632.00 ",Software,1
26162,4514,150,Centric Business Systems,MD,Owings Mills,57,"$36,905,939.00 ",Business Products & Services,1
2862,4515,150,2020 Exhibits,TX,Houston,57,"$26,029,948.00 ",Advertising & Marketing,4
22633,4516,45,Hirewell,IL,Chicago,57,"$5,599,000.00 ",Human Resources,3
24810,4517,225,Logistics Systems,DC,Washington,57,"$24,897,000.00 ",Government Services,1
26114,4518,83,SEARCH,FL,Newberry,57,"$10,330,586.00 ",Government Services,1
3593,4519,30,Popcorn Palace,IL,Burr Ridge,57,"$7,297,878.00 ",Food & Beverage,8
746,4520,25,Antennas Direct,MO,Ellisville,57,"$12,802,855.00 ",Consumer Products & Services,7
18364,4521,55,SmartLinx Solutions,NJ,Manalapan,57,"$6,208,000.00 ",Software,4
25649,4522,  -    ,General Networks,CA,Glendale,57,"$12,079,727.00 ",IT Services,1
4715,4523,6,Benchmark Hospitality International,TX,The Woodlands,57,"$541,698,905.00 ",Travel & Hospitality,5
3247,4524,91,Next Generation Wireless,IA,Cedar Falls,57,"$24,497,596.00 ",Telecommunications,7
17720,4525,15,Inmod,NJ,Fairfield,57,"$6,970,314.00 ",Retail,3
